,SOP_BU_A,SOP_BU_B,SOP_BU_C,Reseller
2356,-1,-1,793,0
2357,694,-1,-1,0
2358,13,-1,-1,0
2359,5,-1,1,NA
2360,6,-1,4,NA
2361,-1,-1,63,0
2362,1,-1,-1,0
2363,162,11,119,0
2364,7,-1,-1,0
2365,225,80,147,0
2366,-1,-1,14,0
2367,85,5,1,0
2368,-1,12,3685,NA
2369,178,12,-1,0
2370,1117,606,137,0
2371,15,65,-1,0
2372,-1,1,-1,0
2373,163,88,77,0
2374,-1,-1,3,0
2375,35,1,23,0
2376,35,67,15,0
2377,2212,428,1113,0
2378,2710,243,952,0
2379,-1,6,-1,NA
2380,14,1,-1,0
2381,22,1,-1,0
2382,151,-1,-1,0
2383,94,20,1,NA
2384,-1,4,-1,0
2385,1275,-1,-1,0
2386,-1,13,50,NA
2387,-1,-1,167,0
2388,-1,1,-1,0
2389,-1,-1,2,0
2390,1,16,4,0
2391,349,78,219,0
2392,3,-1,2,0
2393,-1,5,-1,NA
2394,-1,-1,2,0
2395,37,43,2,0
2396,-1,15,-1,0
2397,15,6,4,0
2398,64,20,56,0
2399,-1,404,-1,NA
2400,-1,-1,12,0
2401,1434,1000,2,0
2402,4,4,-1,0
2403,27,18,3,0
2404,66,-1,3,0
2405,37,2,-1,0
2406,-1,10,-1,0
2407,-1,-1,1359,NA
2408,67,8,67,NA
2409,-1,-1,1993,0
2410,107,11,3,0
2411,-1,35,3,0
2412,-1,3,-1,0
2413,-1,-1,210,0
2414,4,8,-1,0
2415,15,1,14,0
2416,-1,-1,185,0
2417,11,-1,-1,0
2418,-1,1,-1,0
2419,16,7,50,0
2420,5368,1001,1584,0
2421,-1,6,-1,0
2422,1189,173,1182,0
2423,-1,11,-1,0
2424,-1,9,-1,0
2425,8,-1,115,NA
2426,-1,2,27,0
2427,-1,1,-1,0
2428,7,-1,2,0
2429,23,-1,15,0
2430,156,22,130,0
2431,654,-1,-1,0
2432,20,1,3,NA
2433,163,88,77,0
2434,-1,-1,1,0
2435,191,18,40,0
2436,394,46,-1,0
2437,2,1,1,NA
2438,-1,-1,1,NA
2439,-1,-1,105,0
2440,4,2,2,0
2441,-1,-1,2366,0
2442,126,23,405,0
2443,-1,58,-1,0
2444,234,17,6,0
2445,-1,10,-1,NA
2446,27,4,3,0
2447,227,13,-1,NA
2448,5,13,291,0
2449,271,59,156,0
2450,-1,24,-1,0
2451,-1,-1,4,NA
2452,221,120,96,0
2453,1,-1,-1,0
2454,-1,1,14,0
2455,5,7,6,0
2456,-1,-1,3,0
2457,263,24,222,0
2458,423,55,215,0
2459,-1,9,1,NA
2460,7847,-1,8,0
2461,1,-1,-1,0
2462,1,-1,-1,0
2463,1,-1,-1,0
2464,-1,-1,2281,0
2465,14,5,6,0
2466,141,-1,-1,0
2467,303,44,26,0
2468,-1,-1,2377,0
2469,-1,-1,102,0
2470,66,18,151,0
2471,-1,-1,6,0
2472,3,-1,-1,NA
2473,6742,-1,-1,0
2474,9,2,92,0
2475,199,108,121,NA
2476,163,5,82,NA
2477,469,18,14,0
2478,99,38,36,0
2479,-1,5,-1,NA
2480,-1,-1,25,0
2481,683,315,604,0
2482,67,40,11,0
2483,189,82,682,0
2484,-1,3,1,NA
2485,27,5,-1,0
2486,57,27,5,NA
2487,13,16,40,0
2488,227,13,-1,0
2489,128,177,7,0
2490,447,106,672,0
2491,14,1,-1,0
2492,-1,-1,29,0
2493,52,22,9,NA
2494,49,16,1,0
2495,1,-1,-1,NA
2496,4158,447,352,0
2497,794,136,4,0
2498,47,5,34,0
2499,12,3,-1,0
2500,-1,51,-1,0
2501,-1,5,-1,0
2502,29,1,30,0
2503,11,1,2,0
2504,-1,4,-1,0
2505,-1,8,-1,0
2506,19,18,-1,0
2507,11,2,4,0
2508,33,2,17,0
2509,1,-1,-1,NA
2510,-1,1,-1,0
2511,8,17,-1,0
2512,-1,7,-1,0
2513,-1,-1,4,0
2514,152,32,6,0
2515,2661,516,237,0
2516,-1,-1,19,0
2517,36,-1,-1,0
2518,-1,-1,10,0
2519,404,202,337,NA
2520,35,15,17,0
2521,310,70,139,NA
2522,35,1,-1,0
2523,52,22,9,0
2524,47,17,78,0
2525,2191,368,720,0
2526,4843,1591,2247,0
2527,976,72,547,NA
2528,1,-1,-1,NA
2529,225,80,147,0
2530,1,-1,40,0
2531,-1,1,1,0
2532,1,-1,14,NA
2533,4,8,-1,0
2534,71,10,34,NA
2535,42,17,-1,0
2536,91,37,1,0
2537,-1,27,-1,NA
2538,-1,1,34,0
2539,-1,12,-1,0
2540,55,6,-1,0
2541,348,62,31,0
2542,2709,641,508,0
2543,1166,85,547,0
2544,-1,-1,54,0
2545,21,6,5,0
2546,379,79,231,0
2547,-1,-1,1624,0
2548,-1,15,-1,0
2549,72,25,6,0
2550,65,16,1,NA
2551,236,34,15,0
2552,-1,14,-1,0
2553,2,6,-1,0
2554,-1,-1,344,0
2555,35,4,9,0
2556,-1,-1,1,0
2557,8,30,-1,0
2558,-1,1,-1,0
2559,451,116,817,NA
2560,9,-1,-1,0
